Title,Cast and crew,genres,title_year,imdb_score,plot_keywords,language,movie_title
Insidious: The Last Key,"Adam Robitel (director); Leigh Whannell (screenplay); Lin Shaye, Angus Sampson, Leigh Whannell, Spencer Locke, Caitlin Gerard, Bruce Davison","Horror, Thriller",2018,,"key, medium, haunted house, prequel, spirit, 1950s, insidious",en,Insidious: The Last Key
The Strange Ones,"Christopher Radcliff (director/screenplay); Lauren Wolkstein (director); Alex Pettyfer, James Freedson-Jackson, Emily Althaus, Gene Jones, Owen Campbell, Tobias Campbell","Thriller, Drama",2018,,"fire, sibling relationship, nightmare, cave, motel, road trip, woods, remake, woman director",en,The Strange Ones
The Commuter,"Jaume Collet-Serra (director); Byron Willinger, Philip de Blasi, Ryan Engle (screenplay); Liam Neeson, Vera Farmiga, Patrick Wilson, Jonathan Banks, Sam Neill","Action, Thriller, Mystery",2018,,"conspiracy, train",en,The Commuter
Proud Mary,"Babak Najafi (director); John S. Newman, Christian Swegal, Steve Antin (screenplay); Taraji P. Henson, Jahi Di'Allo Winston, Billy Brown, Danny Glover","Thriller, Action, Crime",2018,,hitman,en,Proud Mary
Acts of Violence,"Brett Donowho (director); Nicolas Aaron Mezzanatto (screenplay); Bruce Willis, Cole Hauser, Shawn Ashmore, Ashton Holmes, Melissa Bolona, Sophia Bush, Mike Epps","Action, Crime, Thriller",2018,,"post-traumatic stress disorder (ptsd), police, kidnapping, cleveland, human trafficking, stripper, murder, abduction",en,Acts of Violence
Freak Show,"Trudie Styler (director); Patrick J. Clifton, Beth Rigazio (screenplay); Alex Lawther, Abigail Breslin, AnnaSophia Robb, Ian Nelson, Celia Weston, Laverne Cox, Bette Midler","Comedy, Drama",2018,,"high school, transvestite, lgbt, hate crime, woman director, homecoming queen",en,Freak Show
Humor Me,"Sam Hoffman (director/screenplay); Jemaine Clement, Elliott Gould, Ingrid Michaelson, Annie Potts, Priscilla Lopez, Bebe Neuwirth, Maria Dizzia",Documentary,2024,,,en,Humor Me
12 Strong,"Nicolai Fuglsig (director); Ted Tally, Peter Craig (screenplay); Chris Hemsworth, Michael Shannon, Michael Peña, Navid Negahban, Trevante Rhodes, Geoff Stults, Thad Luckinbill","War, Drama, Action, History",2018,,"central intelligence agency (cia), based on novel or book, afghanistan, based on true story, taliban, post 9/11",en,12 Strong
Den of Thieves,"Christian Gudegast (director/screenplay); Gerard Butler, Pablo Schreiber, O'Shea Jackson Jr., 50 Cent","Action, Crime, Thriller",2018,,"police brutality, detective, fbi, assault rifle, deputy sheriff, investigation, strip club, donut, heist, shootout, los angeles, california, divorce, bank robbery, hostage situation, death, ex-marine, security, armored truck, ex military, aggressive, domineering, donut shop, bar, intense",en,Den of Thieves
Forever My Girl,"Bethany Ashton Wolf (director/screenplay); Alex Roe, Jessica Rothe, John Benjamin Hickey, Abby Ryder Fortson, Travis Tritt","Romance, Drama",2018,,"country music, new orleans, louisiana, guitar player, second chance, hometown, death of mother, death of best friend, coping mechanisms, father daughter relationship, avoidant, loss and grief",en,Forever My Girl
Thane of East County,"Jesse Keller (director/screenplay); Carr Cavender, Molly Beucher, Connor Sullivan, Karl Backus, Joshua Alan Jones, Ron Christopher Jones, Brian Patrick Butler","Drama, Thriller",2017,,,en,Thane of East County
Maze Runner: The Death Cure,"Wes Ball (director); T. S. Nowlin (screenplay); Dylan O'Brien, Kaya Scodelario, Thomas Brodie-Sangster, Nathalie Emmanuel, Giancarlo Esposito, Aidan Gillen, Walton Goggins, Ki Hong Lee, Barry Pepper, Will Poulter, Patricia Clarkson","Science Fiction, Action, Adventure, Thriller",2018,,"based on novel or book, fight, maze, post-apocalyptic future, imprisonment, terminal illness, mad scientist, trial, sequel, survival, murder, zombie, doctor, battle, vaccine, scientist, killer, desert, labyrinth, combat, illness, cure, zombie apocalypse, runner, universal cure, based on young adult novel",en,Maze Runner: The Death Cure
Please Stand By,"Ben Lewin (director); Michael Golamco (screenplay); Dakota Fanning, Toni Collette, Alice Eve, River Alexander, Patton Oswalt","Comedy, Drama",2018,,"san francisco, california, runaway, autism, manuscript, contest, los angeles, california, naive, tantrum, bus trip, script, chihuahua dog, group home, sister sister relationship, star trek, film writer, scriptwriter",en,Please Stand By
Winchester,"The Spierig Brothers (director/screenplay); Tom Vaughan (screenplay); Helen Mirren, Jason Clarke, Sarah Snook","Horror, Thriller",2018,,"drug addiction, haunted house, earthquake, based on true story, rifle, architecture, doctor, ghost, fictional biography, san jose, california",en,Winchester
A Fantastic Woman,"Sebastián Lelio (director/screenplay); Gonzalo Maza (screenplay); Daniela Vega, Francisco Reyes Morandé",Drama,2017,,"waitress, loss, chile, singer, death of lover, south america, transgender",es,A Fantastic Woman
Armed,"Mario Van Peebles (director/screenplay); Mario Van Peebles, Ryan Guzman, Columbus Short, Jemma Dallender, Brad Carter, Shakira Barrera, Laz Alonso, Dionne Warwick, Melvin Van Peebles, Roland Martin, Rocsi Diaz, Van Jones, Paul Rodriguez, William Fichtner","Action, Thriller",2018,,,en,Armed
The Cloverfield Paradox,"Julius Onah (director); Oren Uziel (screenplay); Gugu Mbatha-Raw, Elizabeth Debicki, Aksel Hennie, Daniel Brühl, Chris O'Dowd, John Ortiz, David Oyelowo, Zhang Ziyi","Horror, Thriller, Science Fiction",2018,,"experiment, disorientation, alien, space, scientist, space station, vexed, desperate, parallel universe, alternate universe, spaceship, disheartening",en,The Cloverfield Paradox
Bad Apples,"Bryan Coyne (director/screenplay); Brea Grant, Graham Skipper, Aly Fitzgerald, Heather Vaughn, Richard Riehle",Horror,2018,,,en,Bad Apples
Peter Rabbit,"Will Gluck (director/screenplay); Rob Lieber (screenplay); Rose Byrne, Domhnall Gleeson, Sam Neill, Daisy Ridley, Elizabeth Debicki, Marianne Jean-Baptiste, Margot Robbie, James Corden","Animation, Adventure, Family",2018,,"human animal relationship, based on children's book, rabbit, duringcreditsstinger, live action and animation, peter rabbit, food allergies",en,Peter Rabbit
Pad Man,"R. Balki (director/screenplay); Swanand Kirkire (screenplay); Akshay Kumar, Radhika Apte","Comedy, Drama",2018,,"superhero, village, invention, biography, menstruation, based on true story, taboo, based on short story, dramedy, social awareness",hi,Pad Man
Fifty Shades Freed,"James Foley (director); Niall Leonard (screenplay); Dakota Johnson, Jamie Dornan, Eric Johnson, Rita Ora, Luke Grimes, Victor Rasuk, Jennifer Ehle, Marcia Gay Harden","Drama, Romance",2018,,"based on novel or book, eroticism, sequel, bdsm",en,Fifty Shades Freed
