genres,title_year,imdb_score,plot_keywords,language,movie_title,director_name,actor_1_name,actor_2_name,actor_3_name
"Horror, Action, War",2020,5.0,"world war ii, gremlin, female pilot, woman director, flying fortress",English,Shadow in the Cloud,Roseanne Liang,Chloë Grace Moretz,Taylor John Smith,Beulah Koale
"Adventure, Family, TV Movie, Western",1971,5.2,"horse, cowboy",English,Hacksaw,Anthony Leone,Amy Cay,Brian Patrick Butler,Michael C. Burgess
Drama,2021,7.1,"chauffeur, based on novel or book, delhi, india, rags to riches, class differences, driver, caste system, master servant relationship",English,The White Tiger,Ramin Bahrani,Adarsh Gourav,Rajkummar Rao,Priyanka Chopra Jonas
"Comedy, Crime, Romance",2021,5.3,"london, england, department store, motorcycle, jewel heist, jewelry heist, lockdown, pandemic, divorced couple, covid-19, shot in lockdown, zoom call",English,Locked Down,Doug Liman,Anne Hathaway,Chiwetel Ejiofor,Stephen Merchant
"Thriller, Crime",2017,6.9,"murder, killer, desert, shovel, grave digging, short film",English,The Dig,Simon Stone,Carey Mulligan,Ralph Fiennes,Lily James
"Action, Drama, Thriller",2021,5.7,"assassin, mexico, war veteran, usa–mexico border, murder, drug cartel, farmer, dead dog, road movie",English,The Marksman,Robert Lorenz,Liam Neeson,Katheryn Winnick,Juan Pablo Raba
Thriller,2020,5.9,"coming of age, murder, brother against brother, theft, trapped, walkie talkie, dead father, sick mother, abandoned well, wonder, brother brother relationship, suspicious, suspenseful",English,Don't Tell a Soul,Alex McAulay,Jack Dylan Grazer,Fionn Whitehead,Rainn Wilson
"Drama, Romance",2019,7.3,"friendship, support, based on true story, terminal illness",English,Our Friend,Gabriela Cowperthwaite,Jason Segel,Dakota Johnson,Casey Affleck
"Action, Drama",2021,6.8,"sports, fight, mixed martial arts (mma), jujitsu, bjj",English,Born a Champion,Alex Ranarivelo,Sean Patrick Flanery,Dennis Quaid,Katrina Bowden
"Horror, Thriller",2021,5.6,"secret society, gore, forest, community, revenge, interracial relationship, slasher, backwoods, group of friends, mercy killing, virginia, reboot, appalachian trail, killers, abduction",English,Wrong Turn,Mike P. Nelson,Charlotte Vega,Adain Bradley,Bill Sage
Drama,2021,6.8,"magpies, bird",English,Penguin Bloom,Glenda Ivin,Naomi Watts,Andrew Lincoln,Jacki Weaver
"Drama, Crime, Thriller",2021,6.3,"detective, deputy sheriff, cop, serial killer, crime scene, los angeles, california, series of murders, cat and mouse, surveillance, lapd, homicide detective, prime suspect, mysterious, 1990s, unsolved murders, frightened",English,The Little Things,John Lee Hancock,Denzel Washington,Rami Malek,Jared Leto
"Adventure, Action, Comedy, Family",2021,6.1,"hawaii, native hawaiian",English,Finding ʻOhana,Jude Weng,Kea Peahu,Alex Aiono,Lindsay Watson
Drama,2021,7.3,"factory worker, van, based on novel or book, nevada, affectation, recession, homelessness, road trip, unemployment, recreational vehicle, road movie, death of husband, western usa, nomad, late stage capitalism, clinical",English,Nomadland,Chloé Zhao,Frances McDormand,David Strathairn,Linda May
Drama,2021,7.3,"small town, homophobia, young boy, ex-con, house trailer, bullied, irresponsible parent, adult child friendship, guardianship, drug addict",English,Palmer,Fisher Stevens,Justin Timberlake,Juno Temple,Alisha Wainwright
Drama,2020,6.5,"california, homophobia, abusive father, dementia, retirement, gay parent, lgbt, bigot, father son conflict, father son relationship, gay relationship",English,Falling,Viggo Mortensen,Viggo Mortensen,Lance Henriksen,Terry Chen
"Drama, Crime",2005,6.1,"sydney, australia, bank, heroin, junkie, drug dealing, drugs",English,Little Fish,Chad Hartigan,Olivia Cooke,Jack O'Connell,Raúl Castillo
"History, Drama",2021,6.2,"civil rights, based on true story, racism, klansmen, historical drama, 1960s, racial justice, civil rights movement, independent film, kkk",English,Son of the South,Barry Alexander Brown,Lucas Till,Lucy Hale,Cedric the Entertainer
